compatibility_category,detected_brands,title,product_brand,source_url,compatibility
no-detectable-brand,,Compatible Display 00HN821,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00hn821-150777366,"Panel part numbers: 00HN821. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 00NY664,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ny664-150736490,"Panel part numbers: 00NY664. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01AG913,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag913-150695287,"Panel part numbers: 01AG913. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01AG921,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag921-150777369,"Panel part numbers: 01AG921. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01AG962,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag962-150777370,"Panel part numbers: 01AG962. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01AV665,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01av665-150695356,"Panel part numbers: 01AV665. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01ER483,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01er483-150736514,"Panel part numbers: 01ER483. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 01YN147,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01yn147-150675687,"Panel part numbers: 01YN147. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02351DGP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351dgp-138984889,"Panel part numbers: 02351DGP. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02351DMD,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351dmd-138984893,"Panel part numbers: 02351DMD. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02351KQL,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351kql-138984913,"Panel part numbers: 02351KQL. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02351TVA,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351tva-138984949,"Panel part numbers: 02351TVA. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02351WLK,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02351wlk-138984973,"Panel part numbers: 02351WLK. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352BTW,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352btw-138984995,"Panel part numbers: 02352BTW. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352BUE,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352bue-138984996,"Panel part numbers: 02352BUE. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352JEY,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352jey-149635514,"Panel part numbers: 02352JEY. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352NLQ,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352nlq-138985058,"Panel part numbers: 02352NLQ. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352PBT,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pbt-138985067,"Panel part numbers: 02352PBT. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352PGE,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pge-138985070,"Panel part numbers: 02352PGE. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352PGH,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pgh-138985071,"Panel part numbers: 02352PGH. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352PJN,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pjn-138985076,"Panel part numbers: 02352PJN. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352PJP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352pjp-138985077,"Panel part numbers: 02352PJP. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352QNW,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352qnw-138985088,"Panel part numbers: 02352QNW. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,,Compatible Display 02352RPW,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-02352rpw-149635518,"Panel part numbers: 02352RPW. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
